SERVICE TYPE,TYPE,SERVICE GROUP,MONTH,YEAR,MONTH | YEAR,QUARTER | YEAR,STATUS,DATE,QTY
INC,INCIDENTS,,10,2021,OCT | 2021,4Q | 2021,Open,,0
INC,INCIDENTS,,11,2021,NOV | 2021,4Q | 2021,Open,,0
INC,INCIDENTS,,12,2021,DEC | 2021,4Q | 2021,Open,,0
INC,INCIDENTS,,1,2022,JAN | 2022,1Q | 2022,Open,,0
INC,INCIDENTS,,2,2022,FEB | 2022,1Q | 2022,Open,,0
INC,INCIDENTS,,3,2022,MAR | 2022,1Q | 2022,Open,,0
INC,INCIDENTS,,4,2022,APR | 2022,2Q | 2022,Open,,0
INC,INCIDENTS,,5,2022,MAY | 2022,2Q | 2022,Open,,0
INC,INCIDENTS,,6,2022,JUN | 2022,2Q | 2022,Open,,0
INC,INCIDENTS,,7,2022,JUL | 2022,3Q | 2022,Open,,0
INC,INCIDENTS,,8,2022,AUG | 2022,3Q | 2022,Open,,0
INC,INCIDENTS,,9,2022,SEP | 2022,3Q | 2022,Open,,0
INC,INCIDENTS,,10,2022,OCT | 2022,4Q | 2022,Open,,0
INC,INCIDENTS,,11,2022,NOV | 2022,4Q | 2022,Open,,0
INC,INCIDENTS,,12,2022,DEC | 2022,4Q | 2022,Open,,0
INC,INCIDENTS,,1,2023,JAN | 2023,1Q | 2023,Open,,0
INC,INCIDENTS,,2,2023,FEB | 2023,1Q | 2023,Open,,0
INC,INCIDENTS,,3,2023,MAR | 2023,1Q | 2023,Open,,0
INC,INCIDENTS,,4,2023,APR | 2023,2Q | 2023,Open,,0
INC,INCIDENTS,,5,2023,MAY | 2023,2Q | 2023,Open,,0
INC,INCIDENTS,,6,2023,JUN | 2023,2Q | 2023,Open,,0
INC,INCIDENTS,,7,2023,JUL | 2023,3Q | 2023,Open,,266
INC,INCIDENTS,,8,2023,AUG | 2023,3Q | 2023,Open,,302
INC,INCIDENTS,,9,2023,SEP | 2023,3Q | 2023,Open,,253
INC,INCIDENTS,,10,2023,OCT | 2023,4Q | 2023,Open,,299
INC,INCIDENTS,,11,2023,NOV | 2023,4Q | 2023,Open,,264
INC,INCIDENTS,,12,2023,DEC | 2023,4Q | 2023,Open,,203
INC,INCIDENTS,,1,2024,JAN | 2024,1Q | 2024,Open,,265
INC,INCIDENTS,,2,2024,FEB | 2024,1Q | 2024,Open,,294
INC,INCIDENTS,,3,2024,MAR | 2024,1Q | 2024,Open,,280
INC,INCIDENTS,,4,2024,APR | 2024,2Q | 2024,Open,,238
INC,INCIDENTS,,5,2024,MAY | 2024,2Q | 2024,Open,,249
INC,INCIDENTS,,6,2024,JUN | 2024,2Q | 2024,Open,,232
INC,INCIDENTS,,7,2024,JUL | 2024,3Q | 2024,Open,,70
INC,INCIDENTS,,8,2024,AUG | 2024,3Q | 2024,Open,,0
INC,INCIDENTS,,9,2024,SEP | 2024,3Q | 2024,Open,,0
INC,INCIDENTS,,10,2024,OCT | 2024,4Q | 2024,Open,,0
INC,INCIDENTS,,11,2024,NOV | 2024,4Q | 2024,Open,,0
INC,INCIDENTS,,12,2024,DEC | 2024,4Q | 2024,Open,,0
INC,INCIDENTS,,1,2021,JAN | 2021,1Q | 2021,Resolved,,0
INC,INCIDENTS,,2,2021,FEB | 2021,1Q | 2021,Resolved,,0
INC,INCIDENTS,,3,2021,MAR | 2021,1Q | 2021,Resolved,,0
INC,INCIDENTS,,4,2021,APR | 2021,2Q | 2021,Resolved,,0
INC,INCIDENTS,,5,2021,MAY | 2021,2Q | 2021,Resolved,,0
INC,INCIDENTS,,6,2021,JUN | 2021,2Q | 2021,Resolved,,0
INC,INCIDENTS,,7,2021,JUL | 2021,3Q | 2021,Resolved,,0
INC,INCIDENTS,,8,2021,AUG | 2021,3Q | 2021,Resolved,,0
INC,INCIDENTS,,9,2021,SEP | 2021,3Q | 2021,Resolved,,0
INC,INCIDENTS,,10,2021,OCT | 2021,4Q | 2021,Resolved,,0
INC,INCIDENTS,,11,2021,NOV | 2021,4Q | 2021,Resolved,,0
INC,INCIDENTS,,12,2021,DEC | 2021,4Q | 2021,Resolved,,0
INC,INCIDENTS,,1,2022,JAN | 2022,1Q | 2022,Resolved,,0
INC,INCIDENTS,,2,2022,FEB | 2022,1Q | 2022,Resolved,,0
INC,INCIDENTS,,3,2022,MAR | 2022,1Q | 2022,Resolved,,0
INC,INCIDENTS,,4,2022,APR | 2022,2Q | 2022,Resolved,,0
INC,INCIDENTS,,5,2022,MAY | 2022,2Q | 2022,Resolved,,0
INC,INCIDENTS,,6,2022,JUN | 2022,2Q | 2022,Resolved,,0
INC,INCIDENTS,,7,2022,JUL | 2022,3Q | 2022,Resolved,,0
INC,INCIDENTS,,8,2022,AUG | 2022,3Q | 2022,Resolved,,0
INC,INCIDENTS,,9,2022,SEP | 2022,3Q | 2022,Resolved,,0
INC,INCIDENTS,,10,2022,OCT | 2022,4Q | 2022,Resolved,,0
INC,INCIDENTS,,11,2022,NOV | 2022,4Q | 2022,Resolved,,0
INC,INCIDENTS,,12,2022,DEC | 2022,4Q | 2022,Resolved,,0
INC,INCIDENTS,,1,2023,JAN | 2023,1Q | 2023,Resolved,,0
INC,INCIDENTS,,2,2023,FEB | 2023,1Q | 2023,Resolved,,0
INC,INCIDENTS,,3,2023,MAR | 2023,1Q | 2023,Resolved,,0
INC,INCIDENTS,,4,2023,APR | 2023,2Q | 2023,Resolved,,0
INC,INCIDENTS,,5,2023,MAY | 2023,2Q | 2023,Resolved,,0
INC,INCIDENTS,,6,2023,JUN | 2023,2Q | 2023,Resolved,,0
INC,INCIDENTS,,7,2023,JUL | 2023,3Q | 2023,Resolved,,215
INC,INCIDENTS,,8,2023,AUG | 2023,3Q | 2023,Resolved,,302
INC,INCIDENTS,,9,2023,SEP | 2023,3Q | 2023,Resolved,,247
INC,INCIDENTS,,10,2023,OCT | 2023,4Q | 2023,Resolved,,310
INC,INCIDENTS,,11,2023,NOV | 2023,4Q | 2023,Resolved,,266
INC,INCIDENTS,,12,2023,DEC | 2023,4Q | 2023,Resolved,,217
INC,INCIDENTS,,1,2024,JAN | 2024,1Q | 2024,Resolved,,258
INC,INCIDENTS,,2,2024,FEB | 2024,1Q | 2024,Resolved,,290
INC,INCIDENTS,,3,2024,MAR | 2024,1Q | 2024,Resolved,,280
INC,INCIDENTS,,4,2024,APR | 2024,2Q | 2024,Resolved,,248
INC,INCIDENTS,,5,2024,MAY | 2024,2Q | 2024,Resolved,,251
INC,INCIDENTS,,6,2024,JUN | 2024,2Q | 2024,Resolved,,218
INC,INCIDENTS,,7,2024,JUL | 2024,3Q | 2024,Resolved,,76
INC,INCIDENTS,,8,2024,AUG | 2024,3Q | 2024,Resolved,,0
INC,INCIDENTS,,9,2024,SEP | 2024,3Q | 2024,Resolved,,0
INC,INCIDENTS,,10,2024,OCT | 2024,4Q | 2024,Resolved,,0
INC,INCIDENTS,,11,2024,NOV | 2024,4Q | 2024,Resolved,,0
INC,INCIDENTS,,12,2024,DEC | 2024,4Q | 2024,Resolved,,0
INC,INCIDENTS,,1,2021,JAN | 2021,1Q | 2021,Backlog,1/1/21,0
INC,INCIDENTS,,2,2021,FEB | 2021,1Q | 2021,Backlog,1/2/21,0
INC,INCIDENTS,,3,2021,MAR | 2021,1Q | 2021,Backlog,1/3/21,0
INC,INCIDENTS,,4,2021,APR | 2021,2Q | 2021,Backlog,1/4/21,0
INC,INCIDENTS,,5,2021,MAY | 2021,2Q | 2021,Backlog,1/5/21,0
INC,INCIDENTS,,6,2021,JUN | 2021,2Q | 2021,Backlog,1/6/21,0
INC,INCIDENTS,,7,2021,JUL | 2021,3Q | 2021,Backlog,1/7/21,0
INC,INCIDENTS,,8,2021,AUG | 2021,3Q | 2021,Backlog,1/8/21,0
INC,INCIDENTS,,9,2021,SEP | 2021,3Q | 2021,Backlog,1/9/21,0
INC,INCIDENTS,,10,2021,OCT | 2021,4Q | 2021,Backlog,1/10/21,0
INC,INCIDENTS,,11,2021,NOV | 2021,4Q | 2021,Backlog,1/11/21,0
INC,INCIDENTS,,12,2021,DEC | 2021,4Q | 2021,Backlog,1/12/21,0
INC,INCIDENTS,,1,2022,JAN | 2022,1Q | 2022,Backlog,1/1/22,0
INC,INCIDENTS,,2,2022,FEB | 2022,1Q | 2022,Backlog,1/2/22,0
INC,INCIDENTS,,3,2022,MAR | 2022,1Q | 2022,Backlog,1/3/22,0
INC,INCIDENTS,,4,2022,APR | 2022,2Q | 2022,Backlog,1/4/22,0
INC,INCIDENTS,,5,2022,MAY | 2022,2Q | 2022,Backlog,1/5/22,0
INC,INCIDENTS,,6,2022,JUN | 2022,2Q | 2022,Backlog,1/6/22,0
INC,INCIDENTS,,7,2022,JUL | 2022,3Q | 2022,Backlog,1/7/22,0
INC,INCIDENTS,,8,2022,AUG | 2022,3Q | 2022,Backlog,1/8/22,0
INC,INCIDENTS,,9,2022,SEP | 2022,3Q | 2022,Backlog,1/9/22,0
INC,INCIDENTS,,10,2022,OCT | 2022,4Q | 2022,Backlog,1/10/22,0
INC,INCIDENTS,,11,2022,NOV | 2022,4Q | 2022,Backlog,1/11/22,0
INC,INCIDENTS,,12,2022,DEC | 2022,4Q | 2022,Backlog,1/12/22,0
INC,INCIDENTS,,1,2023,JAN | 2023,1Q | 2023,Backlog,1/1/23,0
INC,INCIDENTS,,2,2023,FEB | 2023,1Q | 2023,Backlog,1/2/23,0
INC,INCIDENTS,,3,2023,MAR | 2023,1Q | 2023,Backlog,1/3/23,0
INC,INCIDENTS,,4,2023,APR | 2023,2Q | 2023,Backlog,1/4/23,0
INC,INCIDENTS,,5,2023,MAY | 2023,2Q | 2023,Backlog,1/5/23,0
INC,INCIDENTS,,6,2023,JUN | 2023,2Q | 2023,Backlog,1/6/23,0
INC,INCIDENTS,,7,2023,JUL | 2023,3Q | 2023,Backlog,1/7/23,51
INC,INCIDENTS,,8,2023,AUG | 2023,3Q | 2023,Backlog,1/8/23,51
INC,INCIDENTS,,9,2023,SEP | 2023,3Q | 2023,Backlog,1/9/23,57
INC,INCIDENTS,,10,2023,OCT | 2023,4Q | 2023,Backlog,1/10/23,46
INC,INCIDENTS,,11,2023,NOV | 2023,4Q | 2023,Backlog,1/11/23,44
INC,INCIDENTS,,12,2023,DEC | 2023,4Q | 2023,Backlog,1/12/23,30
INC,INCIDENTS,,1,2024,JAN | 2024,1Q | 2024,Backlog,1/1/24,37
INC,INCIDENTS,,2,2024,FEB | 2024,1Q | 2024,Backlog,1/2/24,41
INC,INCIDENTS,,3,2024,MAR | 2024,1Q | 2024,Backlog,1/3/24,41
INC,INCIDENTS,,4,2024,APR | 2024,2Q | 2024,Backlog,1/4/24,31
INC,INCIDENTS,,5,2024,MAY | 2024,2Q | 2024,Backlog,1/5/24,29
INC,INCIDENTS,,6,2024,JUN | 2024,2Q | 2024,Backlog,1/6/24,43
INC,INCIDENTS,,7,2024,JUL | 2024,3Q | 2024,Backlog,1/7/24,37
INC,INCIDENTS,,8,2024,AUG | 2024,3Q | 2024,Backlog,1/8/24,0
INC,INCIDENTS,,9,2024,SEP | 2024,3Q | 2024,Backlog,1/9/24,0
INC,INCIDENTS,,10,2024,OCT | 2024,4Q | 2024,Backlog,1/10/24,0
INC,INCIDENTS,,11,2024,NOV | 2024,4Q | 2024,Backlog,1/11/24,0
INC,INCIDENTS,,12,2024,DEC | 2024,4Q | 2024,Backlog,1/12/24,0
SR,SERVICE REQUEST,,1,2021,JAN | 2021,1Q | 2021,Open,,0
SR,SERVICE REQUEST,,2,2021,FEB | 2021,1Q | 2021,Open,,0
SR,SERVICE REQUEST,,3,2021,MAR | 2021,1Q | 2021,Open,,0
SR,SERVICE REQUEST,,4,2021,APR | 2021,2Q | 2021,Open,,0
SR,SERVICE REQUEST,,5,2021,MAY | 2021,2Q | 2021,Open,,0
SR,SERVICE REQUEST,,6,2021,JUN | 2021,2Q | 2021,Open,,0
SR,SERVICE REQUEST,,7,2021,JUL | 2021,3Q | 2021,Open,,0
SR,SERVICE REQUEST,,8,2021,AUG | 2021,3Q | 2021,Open,,0
SR,SERVICE REQUEST,,9,2021,SEP | 2021,3Q | 2021,Open,,0
SR,SERVICE REQUEST,,10,2021,OCT | 2021,4Q | 2021,Open,,0
SR,SERVICE REQUEST,,11,2021,NOV | 2021,4Q | 2021,Open,,0
SR,SERVICE REQUEST,,12,2021,DEC | 2021,4Q | 2021,Open,,0
SR,SERVICE REQUEST,,1,2022,JAN | 2022,1Q | 2022,Open,,0
SR,SERVICE REQUEST,,2,2022,FEB | 2022,1Q | 2022,Open,,0
SR,SERVICE REQUEST,,3,2022,MAR | 2022,1Q | 2022,Open,,0
SR,SERVICE REQUEST,,4,2022,APR | 2022,2Q | 2022,Open,,0
SR,SERVICE REQUEST,,5,2022,MAY | 2022,2Q | 2022,Open,,0
SR,SERVICE REQUEST,,6,2022,JUN | 2022,2Q | 2022,Open,,0
SR,SERVICE REQUEST,,7,2022,JUL | 2022,3Q | 2022,Open,,0
SR,SERVICE REQUEST,,8,2022,AUG | 2022,3Q | 2022,Open,,0
SR,SERVICE REQUEST,,9,2022,SEP | 2022,3Q | 2022,Open,,0
SR,SERVICE REQUEST,,10,2022,OCT | 2022,4Q | 2022,Open,,0
SR,SERVICE REQUEST,,11,2022,NOV | 2022,4Q | 2022,Open,,0
SR,SERVICE REQUEST,,12,2022,DEC | 2022,4Q | 2022,Open,,0
SR,SERVICE REQUEST,,1,2023,JAN | 2023,1Q | 2023,Open,,0
SR,SERVICE REQUEST,,2,2023,FEB | 2023,1Q | 2023,Open,,0
SR,SERVICE REQUEST,,3,2023,MAR | 2023,1Q | 2023,Open,,0
SR,SERVICE REQUEST,,4,2023,APR | 2023,2Q | 2023,Open,,0
SR,SERVICE REQUEST,,5,2023,MAY | 2023,2Q | 2023,Open,,0
SR,SERVICE REQUEST,,6,2023,JUN | 2023,2Q | 2023,Open,,0
SR,SERVICE REQUEST,,7,2023,JUL | 2023,3Q | 2023,Open,,61
SR,SERVICE REQUEST,,8,2023,AUG | 2023,3Q | 2023,Open,,84
SR,SERVICE REQUEST,,9,2023,SEP | 2023,3Q | 2023,Open,,71
SR,SERVICE REQUEST,,10,2023,OCT | 2023,4Q | 2023,Open,,99
SR,SERVICE REQUEST,,11,2023,NOV | 2023,4Q | 2023,Open,,68
SR,SERVICE REQUEST,,12,2023,DEC | 2023,4Q | 2023,Open,,61
SR,SERVICE REQUEST,,1,2024,JAN | 2024,1Q | 2024,Open,,73
SR,SERVICE REQUEST,,2,2024,FEB | 2024,1Q | 2024,Open,,96
SR,SERVICE REQUEST,,3,2024,MAR | 2024,1Q | 2024,Open,,92
SR,SERVICE REQUEST,,4,2024,APR | 2024,2Q | 2024,Open,,90
SR,SERVICE REQUEST,,5,2024,MAY | 2024,2Q | 2024,Open,,92
SR,SERVICE REQUEST,,6,2024,JUN | 2024,2Q | 2024,Open,,80
